"rules","support","confidence","coverage","lift","count"
"{beer,shopping} => {bags}",0.00691408235892222,1,0.00691408235892222,10.1287332646756,68
"{milk,cream} => {cheese}",0.00691408235892222,1,0.00691408235892222,21.6629955947137,68
"{milk} => {whole}",0.012709710218607,0.553097345132743,0.0229791560752415,7.58676762814579,125
"{canned} => {beer}",0.0265378749364515,0.808049535603715,0.0328418912048805,9.58645016002719,261
"{beer} => {canned}",0.0265378749364515,0.314837153196622,0.0842907981698017,9.58645016002719,261
"{product} => {bakery}",0.0132180986273513,1,0.0132180986273513,26.7255434782609,130
"{bakery} => {product}",0.0132180986273513,0.353260869565217,0.0374173868835791,26.7255434782609,130
"{product} => {life}",0.0132180986273513,1,0.0132180986273513,26.7255434782609,130
"{life} => {product}",0.0132180986273513,0.353260869565217,0.0374173868835791,26.7255434782609,130
"{water} => {bottled}",0.00681240467717336,0.263779527559055,0.0258261311642095,7.45480360213594,67
"{bottled} => {beer}",0.0145399084900864,0.410919540229885,0.0353838332486019,4.87502253095407,143
"{milk,frozen} => {vegetables,whole}",0.00610066090493137,0.413793103448276,0.0147432638535841,4.32942039618489,60
"{milk,whipped/sour} => {vegetables,whole}",0.00711743772241993,0.476190476190476,0.0149466192170819,4.9822695035461,70
"{root} => {vegetables,other}",0.00813421453990849,0.277777777777778,0.0292831723436706,7.2465369879163,80
"{root} => {vegetables,whole}",0.00976105744789019,0.333333333333333,0.0292831723436706,3.48758865248227,96
"{fruit,tropical} => {citrus}",0.0115912557193696,0.581632653061224,0.0199288256227758,12.627719962157,114
"{citrus} => {fruit,tropical}",0.0115912557193696,0.251655629139073,0.0460599898322318,12.627719962157,114
"{other} => {vegetables,whole}",0.0140315200813421,0.3,0.0467717336044738,3.13882978723404,138
"{fruit,whole} => {tropical}",0.00925266903914591,0.267647058823529,0.0345704117946111,5.46122162557969,91
"{fruit,pip} => {citrus}",0.0074224707676665,0.25886524822695,0.0286731062531774,5.6201759741988,73
"{fruit,pip} => {vegetables,whole}",0.00721911540416879,0.25177304964539,0.0286731062531774,2.63424249283235,71
"{fruit,other} => {vegetables,whole}",0.014133197763091,0.383977900552486,0.0368073207930859,4.01747090631245,139
"{fruit,root} => {vegetables,other}",0.0144382308083376,0.405714285714286,0.0355871886120996,10.5840848806366,142
"{vegetables,other} => {fruit,root}",0.0144382308083376,0.376657824933687,0.0383324860193188,10.5840848806366,142
"{fruit,root} => {vegetables,whole}",0.0170818505338078,0.48,0.0355871886120996,5.02212765957447,168
"{vegetables,other} => {vegetables,whole}",0.0177935943060498,0.464190981432361,0.0383324860193188,4.85672159828433,175
"{bakery} => {life}",0.0374173868835791,1,0.0374173868835791,26.7255434782609,368
"{life} => {bakery}",0.0374173868835791,1,0.0374173868835791,26.7255434782609,368
"{bakery,product} => {life}",0.0132180986273513,1,0.0132180986273513,26.7255434782609,130
"{life,product} => {bakery}",0.0132180986273513,1,0.0132180986273513,26.7255434782609,130
"{bakery,life} => {product}",0.0132180986273513,0.353260869565217,0.0374173868835791,26.7255434782609,130
"{fruit,root,vegetables,other} => {vegetables,whole}",0.00732079308591764,0.507042253521127,0.0144382308083376,5.30506442912796,72
"{fruit,root,vegetables,whole} => {vegetables,other}",0.00732079308591764,0.428571428571429,0.0170818505338078,11.1803713527851,72
"{vegetables,other,vegetables,whole} => {fruit,root}",0.00732079308591764,0.411428571428571,0.0177935943060498,11.5611428571429,72
"{bakery,vegetables,whole} => {life}",0.00660904931367565,1,0.00660904931367565,26.7255434782609,65
"{life,vegetables,whole} => {bakery}",0.00660904931367565,1,0.00660904931367565,26.7255434782609,65
